DEPOT_ID,prd_id,prd_key,CURRENT_STOCK,SAFETY_STOCK,LAST_COUNT_DT,DEPOT_COUNTRY
WH001,299,CO-MF-FR-M94B-44,873,139,2025-04-27,US
DC_DE,300,CO-MF-FR-M94B-48,24,163,2025-09-19,Germany
DC_UK,301,CO-MF-FR-M94B-46,724,125,2025-07-16,United Kingdom
DC_CA,302,CO-MF-FR-M94B-46,292,146,2025-04-17,Canada
DC_UK,303,CO-MF-FR-M94B-46,69,113,2025-05-24,United Kingdom
DC_UK,304,CO-MF-FR-M94B-38,252,54,2025-04-13,United Kingdom
DC_DE,305,CO-MF-FR-M94B-38,415,110,2025-04-19,Germany
WH001,306,CO-MF-FR-M94B-38,807,144,2025-03-22,US
DC_DE,307,CO-MF-FR-M94S-38,312,54,2025-05-02,Germany
DC_DE,308,CO-MF-FR-M94S-38,579,101,2025-10-16,Germany
DC_FR,309,CO-MF-FR-M94S-38,774,187,2025-09-01,France
DC_DE,310,BI-RB-BK-R93R-62,606,101,2025-01-13,Germany
WH001,311,BI-RB-BK-R93R-44,508,114,2025-08-20,US
DC_DE,312,BI-RB-BK-R93R-48,29,33,2025-09-01,Germany
DC_UK,313,BI-RB-BK-R93R-52,416,176,2025-04-27,United Kingdom
WH001,314,BI-RB-BK-R93R-56,278,92,2025-06-10,US
DC_FR,315,BI-RB-BK-R68R-58,987,146,2025-09-23,France
WH001,316,BI-RB-BK-R68R-60,307,79,2025-10-29,US
DC_DE,317,BI-RB-BK-R68R-44,639,197,2025-02-28,Germany
DC_CA,318,BI-RB-BK-R68R-48,980,162,2025-08-22,Canada
DC_UK,319,BI-RB-BK-R68R-52,656,54,2025-07-12,United Kingdom
DC_FR,320,BI-RB-BK-R50R-58,166,162,2025-02-22,France
WH003,321,BI-RB-BK-R50R-58,710,189,2025-03-21,US
DC_UK,322,BI-RB-BK-R50R-60,313,195,2025-01-11,United Kingdom
DC_CA,323,BI-RB-BK-R50R-60,150,195,2025-06-28,Canada
DC_UK,324,BI-RB-BK-R50R-62,854,170,2025-06-28,United Kingdom
WH003,325,BI-RB-BK-R50R-62,320,88,2025-10-02,US
DC_UK,326,BI-RB-BK-R50R-44,343,68,2025-11-02,United Kingdom
DC_FR,327,BI-RB-BK-R50R-44,751,130,2025-05-16,France
DC_FR,328,BI-RB-BK-R50R-48,166,69,2025-12-15,France
WH002,329,BI-RB-BK-R50R-48,657,182,2025-09-10,US
WH002,330,BI-RB-BK-R50R-52,16,153,2025-02-26,US
WH002,331,BI-RB-BK-R50R-52,735,74,2025-07-22,US
WH003,332,BI-RB-BK-R50B-58,803,178,2025-03-25,US
DC_UK,333,BI-RB-BK-R50B-58,504,182,2025-07-04,United Kingdom
WH002,334,BI-RB-BK-R50B-60,151,70,2025-08-06,US
WH003,335,BI-RB-BK-R50B-60,601,41,2025-10-06,US
WH002,336,BI-RB-BK-R50B-62,495,29,2025-01-07,US
WH002,337,BI-RB-BK-R50B-62,998,99,2025-10-04,US
DC_FR,338,BI-RB-BK-R50B-44,177,99,2025-04-15,France
WH002,339,BI-RB-BK-R50B-44,747,198,2025-07-05,US
DC_FR,340,BI-RB-BK-R50B-48,844,76,2025-06-24,France
WH003,341,BI-RB-BK-R50B-48,734,89,2025-10-24,US
WH001,342,BI-RB-BK-R50B-52,139,158,2025-11-08,US
WH003,343,BI-RB-BK-R50B-52,325,137,2025-07-23,US
DC_FR,344,BI-MB-BK-M82S-38,866,121,2025-05-16,France
DC_UK,345,BI-MB-BK-M82S-42,263,183,2025-01-04,United Kingdom
WH002,346,BI-MB-BK-M82S-44,125,121,2025-07-07,US
DC_DE,347,BI-MB-BK-M82S-48,351,182,2025-01-09,Germany
DC_UK,348,BI-MB-BK-M82B-38,389,144,2025-04-26,United Kingdom
DC_FR,349,BI-MB-BK-M82B-42,764,146,2025-06-21,France
DC_UK,350,BI-MB-BK-M82B-44,774,197,2025-09-26,United Kingdom
WH002,351,BI-MB-BK-M82B-48,215,166,2025-09-19,US
DC_FR,352,BI-MB-BK-M68S-38,528,182,2025-05-16,France
DC_CA,353,BI-MB-BK-M68S-38,960,191,2025-03-21,Canada
DC_UK,354,BI-MB-BK-M68S-42,172,42,2025-07-19,United Kingdom
DC_CA,355,BI-MB-BK-M68S-42,475,116,2025-10-29,Canada
DC_DE,356,BI-MB-BK-M68S-46,176,25,2025-07-15,Germany
WH002,357,BI-MB-BK-M68S-46,63,184,2025-05-08,US
DC_CA,358,BI-MB-BK-M68B-38,131,133,2025-06-22,Canada
DC_UK,359,BI-MB-BK-M68B-38,264,171,2025-09-26,United Kingdom
DC_DE,360,BI-MB-BK-M68B-42,735,183,2025-02-21,Germany
DC_CA,361,BI-MB-BK-M68B-42,335,186,2025-09-15,Canada
WH002,362,BI-MB-BK-M68B-46,308,162,2025-07-30,US
DC_CA,363,BI-MB-BK-M68B-46,244,130,2025-07-29,Canada
DC_FR,364,BI-MB-BK-M47B-38,529,76,2025-01-25,France
DC_CA,365,BI-MB-BK-M47B-40,417,199,2025-11-21,Canada
DC_CA,366,BI-MB-BK-M47B-44,576,189,2025-10-18,Canada
DC_CA,367,BI-MB-BK-M47B-48,457,28,2025-07-16,Canada
DC_CA,368,BI-RB-BK-R89R-44,648,65,2025-07-01,Canada
WH001,369,BI-RB-BK-R89R-48,520,148,2025-01-24,US
WH001,370,BI-RB-BK-R89R-52,471,192,2025-11-23,US
WH002,371,BI-RB-BK-R89R-58,701,189,2025-04-28,US
WH003,372,BI-RB-BK-R89R-58,650,194,2025-04-17,US
DC_UK,373,BI-RB-BK-R89B-44,6,197,2025-09-07,United Kingdom
DC_CA,374,BI-RB-BK-R89B-44,321,160,2025-03-22,Canada
WH002,375,BI-RB-BK-R89B-48,655,25,2025-03-14,US
WH003,376,BI-RB-BK-R89B-48,606,131,2025-02-15,US
DC_UK,377,BI-RB-BK-R89B-52,554,137,2025-11-25,United Kingdom
DC_FR,378,BI-RB-BK-R89B-52,288,34,2025-02-15,France
DC_DE,379,BI-RB-BK-R89B-58,62,145,2025-03-20,Germany
DC_UK,380,BI-RB-BK-R89B-58,149,176,2025-01-23,United Kingdom
DC_FR,381,BI-RB-BK-R64Y-38,715,193,2025-10-12,France
WH003,382,BI-RB-BK-R64Y-38,610,33,2025-07-13,US
DC_FR,383,BI-RB-BK-R64Y-40,5,150,2025-01-04,France
DC_DE,384,BI-RB-BK-R64Y-40,741,186,2025-09-03,Germany
DC_CA,385,BI-RB-BK-R64Y-42,24,33,2025-02-06,Canada
WH001,386,BI-RB-BK-R64Y-42,205,200,2025-08-30,US
WH003,387,BI-RB-BK-R64Y-44,101,49,2025-09-02,US
DC_CA,388,BI-RB-BK-R64Y-44,98,71,2025-02-17,Canada
DC_UK,389,BI-RB-BK-R64Y-48,333,191,2025-10-16,United Kingdom
DC_FR,390,BI-RB-BK-R64Y-48,538,52,2025-08-11,France
DC_FR,391,CO-FO-FK-1639,99,200,2025-06-01,France
DC_UK,392,CO-FO-FK-5136,902,51,2025-10-18,United Kingdom
DC_DE,393,CO-FO-FK-9939,450,131,2025-07-01,Germany
DC_CA,394,CO-HS-HS-0296,487,52,2025-03-12,Canada
WH003,395,CO-HS-HS-2451,677,141,2025-10-31,US
WH001,396,CO-HS-HS-3479,919,119,2025-09-29,US
DC_FR,397,CO-HB-HB-M243,693,27,2025-10-29,France
DC_FR,398,CO-HB-HB-M243,206,116,2025-02-02,France
DC_CA,399,CO-HB-HB-M763,36,86,2025-11-16,Canada
DC_DE,400,CO-HB-HB-M763,550,22,2025-01-29,Germany
DC_DE,401,CO-HB-HB-M918,381,47,2025-11-14,Germany
WH002,402,CO-HB-HB-M918,581,109,2025-02-28,US
DC_DE,403,CO-HB-HB-R504,849,192,2025-12-07,Germany
DC_UK,404,CO-HB-HB-R504,749,141,2025-10-05,United Kingdom
DC_DE,405,CO-HB-HB-R720,985,104,2025-02-16,Germany
DC_DE,406,CO-HB-HB-R720,372,112,2025-04-28,Germany
DC_CA,407,CO-HB-HB-R956,77,118,2025-08-13,Canada
DC_DE,408,CO-HB-HB-R956,151,137,2025-02-11,Germany
DC_FR,409,CO-MF-FR-M63B-38,32,119,2025-10-18,France
DC_UK,410,CO-WH-FW-M423,100,47,2025-01-12,United Kingdom
DC_FR,411,CO-WH-FW-M762,345,51,2025-10-13,France
DC_FR,412,CO-WH-FW-M928,923,75,2025-08-30,France
DC_CA,413,CO-WH-FW-R623,518,143,2025-05-03,Canada
DC_DE,414,CO-WH-FW-R762,765,171,2025-05-19,Germany
WH003,415,CO-WH-FW-R820,423,195,2025-12-06,US
WH002,416,CO-WH-FW-T905,210,167,2025-09-22,US
WH002,417,CO-RF-FR-R72Y-38,197,89,2025-07-14,US
DC_UK,418,CO-RF-FR-R72Y-38,102,44,2025-10-29,United Kingdom
WH001,419,CO-WH-RW-M423,569,124,2025-02-15,US
WH002,420,CO-WH-RW-M762,158,73,2025-06-01,US
WH002,421,CO-WH-RW-M928,61,46,2025-02-11,US
DC_CA,422,CO-WH-RW-R623,821,96,2025-11-08,Canada
WH001,423,CO-WH-RW-R762,123,27,2025-03-13,US
DC_FR,424,CO-WH-RW-R820,55,151,2025-10-06,France
WH002,425,CO-WH-RW-T905,221,108,2025-10-23,US
DC_UK,426,CO-MF-FR-M63B-40,132,102,2025-05-05,United Kingdom
DC_FR,427,CO-MF-FR-M63B-44,383,159,2025-03-15,France
WH003,428,CO-MF-FR-M63B-48,798,189,2025-12-25,US
WH001,429,CO-RF-FR-R72Y-40,951,166,2025-12-14,US
WH001,430,CO-RF-FR-R72Y-40,365,118,2025-02-16,US
WH002,431,CO-RF-FR-R72Y-42,225,20,2025-08-11,US
DC_DE,432,CO-RF-FR-R72Y-42,275,29,2025-02-17,Germany
DC_DE,433,CO-RF-FR-R72Y-44,921,40,2025-12-24,Germany
DC_UK,434,CO-RF-FR-R72Y-44,521,79,2025-01-04,United Kingdom
DC_UK,435,CO-RF-FR-R72Y-48,534,153,2025-01-10,United Kingdom
WH002,436,CO-RF-FR-R72Y-48,904,125,2025-11-09,US
DC_UK,437,CO-RF-FR-R92B-62,793,111,2025-03-04,United Kingdom
WH003,438,CO-RF-FR-R92B-62,464,25,2025-02-11,US
WH003,439,CO-RF-FR-R92B-44,175,161,2025-06-25,US
DC_FR,440,CO-RF-FR-R92B-44,741,23,2025-05-19,France
WH003,441,CO-RF-FR-R92B-48,520,97,2025-02-22,US
DC_DE,442,CO-RF-FR-R92B-48,24,81,2025-03-19,Germany
DC_FR,443,CO-RF-FR-R92B-52,788,83,2025-09-14,France
WH003,444,CO-RF-FR-R92B-52,137,72,2025-09-26,US
WH002,445,CL-SH-SH-M897-S,683,143,2025-08-05,US
DC_DE,446,AC-PA-PA-T100,430,148,2025-12-21,Germany
WH003,447,AC-LO-LO-C100,329,77,2025-12-31,US
DC_DE,448,AC-PU-PU-0452,506,99,2025-10-05,Germany
WH002,449,AC-PU-PU-M044,667,39,2025-04-17,US
WH002,450,AC-LI-LT-T990,104,80,2025-12-28,US
DC_FR,451,AC-LI-LT-H902,289,102,2025-02-07,France
WH003,452,AC-LI-LT-H903,622,171,2025-05-16,US
DC_DE,453,CL-SH-SH-M897-M,792,97,2025-04-11,Germany
DC_DE,454,CL-SH-SH-M897-L,258,60,2025-08-21,Germany
WH002,455,CL-SH-SH-M897-X,408,155,2025-11-08,US
DC_UK,456,CL-TI-TG-W091-S,896,20,2025-02-06,United Kingdom
WH002,457,CL-TI-TG-W091-M,627,24,2025-06-01,US
DC_CA,458,CL-TI-TG-W091-L,67,33,2025-12-25,Canada
DC_DE,459,CL-BS-SB-M891-S,418,172,2025-10-02,Germany
WH001,460,CL-BS-SB-M891-M,760,46,2025-04-19,US
WH003,461,CL-BS-SB-M891-L,932,85,2025-06-05,US
WH002,462,CL-GL-GL-H102-S,467,166,2025-08-03,US
DC_DE,463,CL-GL-GL-H102-S,82,183,2025-06-29,Germany
DC_DE,464,CL-GL-GL-H102-M,451,115,2025-02-27,Germany
WH003,465,CL-GL-GL-H102-M,617,176,2025-08-25,US
WH001,466,CL-GL-GL-H102-L,724,145,2025-05-28,US
WH002,467,CL-GL-GL-H102-L,871,88,2025-07-29,US
WH001,468,CL-GL-GL-F110-S,655,42,2025-08-05,US
WH002,469,CL-GL-GL-F110-M,238,50,2025-01-01,US
DC_CA,470,CL-GL-GL-F110-L,786,154,2025-03-02,Canada
WH002,471,CL-VE-VE-C304-S,182,136,2025-05-29,US
WH001,472,CL-VE-VE-C304-M,111,195,2025-08-09,US
WH002,473,CL-VE-VE-C304-L,796,80,2025-07-09,US
DC_UK,474,CL-SH-SH-W890-S,65,135,2025-07-20,United Kingdom
WH001,475,CL-SH-SH-W890-M,72,140,2025-04-15,US
DC_CA,476,CL-SH-SH-W890-L,611,199,2025-09-24,Canada
DC_FR,477,AC-BC-WB-H098,335,115,2025-10-10,France
DC_CA,478,AC-BC-BC-M005,930,153,2025-12-20,Canada
DC_FR,479,AC-BC-BC-R205,494,36,2025-12-09,France
DC_DE,480,AC-TT-PK-7098,505,88,2025-10-28,Germany
WH003,481,CL-SO-SO-R809-M,219,127,2025-09-19,US
WH001,482,CL-SO-SO-R809-L,76,167,2025-01-21,US
WH001,483,AC-BR-RA-H123,351,137,2025-12-14,US
DC_DE,484,AC-CL-CL-9009,531,86,2025-10-30,Germany
DC_DE,485,AC-FE-FE-6654,148,38,2025-11-13,Germany
DC_UK,486,AC-BS-ST-1401,266,137,2025-03-11,United Kingdom
DC_DE,487,AC-HP-HY-1023-70,402,146,2025-04-24,Germany
WH001,488,CL-JE-SJ-0194-S,63,175,2025-09-22,US
DC_UK,489,CL-JE-SJ-0194-M,712,58,2025-09-07,United Kingdom
DC_FR,490,CL-JE-SJ-0194-L,141,184,2025-01-28,France
DC_CA,491,CL-JE-SJ-0194-X,804,175,2025-11-27,Canada
WH003,492,CO-TF-FR-T98Y-60,546,42,2025-12-28,US
WH001,493,CO-TF-FR-T67Y-62,386,156,2025-01-27,US
DC_FR,494,CO-TF-FR-T98Y-46,703,44,2025-09-05,France
DC_DE,495,CO-TF-FR-T98Y-50,678,186,2025-10-16,Germany
WH002,496,CO-TF-FR-T98Y-54,992,76,2025-07-11,US
DC_FR,497,CO-TF-FR-T98U-46,982,54,2025-03-23,France
WH003,498,CO-TF-FR-T98U-50,339,133,2025-02-23,US
WH001,499,CO-TF-FR-T98U-54,873,139,2025-04-27,US
DC_DE,500,CO-TF-FR-T98U-60,24,163,2025-09-19,Germany
DC_UK,501,CO-DE-RD-2308,724,125,2025-07-16,United Kingdom
DC_CA,502,CO-TF-FR-T67U-50,292,146,2025-04-17,Canada
DC_UK,503,CO-TF-FR-T67U-54,69,113,2025-05-24,United Kingdom
DC_UK,504,CO-TF-FR-T67U-58,252,54,2025-04-13,United Kingdom
DC_DE,505,CO-TF-FR-T67U-62,415,110,2025-04-19,Germany
WH001,506,CO-TF-FR-T67Y-44,807,144,2025-03-22,US
DC_DE,507,CO-TF-FR-T67Y-50,312,54,2025-05-02,Germany
DC_DE,508,CO-TF-FR-T67Y-54,579,101,2025-10-16,Germany
DC_FR,509,CO-TF-FR-T67Y-58,774,187,2025-09-01,France
DC_DE,510,CO-TF-FR-T67U-44,606,101,2025-01-13,Germany
WH001,511,CO-MF-FR-M63S-40,508,114,2025-08-20,US
DC_DE,512,CO-MF-FR-M63S-42,29,33,2025-09-01,Germany
DC_UK,513,CO-MF-FR-M63S-46,416,176,2025-04-27,United Kingdom
WH001,514,CO-BR-RB-9231,278,92,2025-06-10,US
DC_FR,515,CO-SA-SE-M236,987,146,2025-09-23,France
WH001,516,CO-SA-SE-M798,307,79,2025-10-29,US
DC_DE,517,CO-SA-SE-M940,639,197,2025-02-28,Germany
DC_CA,518,CO-SA-SE-R581,980,162,2025-08-22,Canada
DC_UK,519,CO-SA-SE-R908,656,54,2025-07-12,United Kingdom
DC_FR,520,CO-SA-SE-R995,166,162,2025-02-22,France
WH003,521,CO-SA-SE-T312,710,189,2025-03-21,US
DC_UK,522,CO-SA-SE-T762,313,195,2025-01-11,United Kingdom
DC_CA,523,CO-SA-SE-T924,150,195,2025-06-28,Canada
DC_UK,524,CO-MF-FR-M21S-42,854,170,2025-06-28,United Kingdom
WH003,525,CO-MF-FR-M21S-44,320,88,2025-10-02,US
DC_UK,526,CO-MF-FR-M21S-48,343,68,2025-11-02,United Kingdom
DC_FR,527,CO-MF-FR-M21S-52,751,130,2025-05-16,France
DC_FR,528,AC-TT-TT-M928,166,69,2025-12-15,France
WH002,529,AC-TT-TT-R982,657,182,2025-09-10,US
WH002,530,AC-TT-TT-T092,16,153,2025-02-26,US
WH002,531,CO-MF-FR-M21B-42,735,74,2025-07-22,US
WH003,532,CO-MF-FR-M21B-44,803,178,2025-03-25,US
DC_UK,533,CO-MF-FR-M21B-48,504,182,2025-07-04,United Kingdom
WH002,534,CO-MF-FR-M21B-52,151,70,2025-08-06,US
WH003,535,AC-TT-TI-M267,601,41,2025-10-06,US
WH002,536,AC-TT-TI-M602,495,29,2025-01-07,US
WH002,537,AC-TT-TI-M823,998,99,2025-10-04,US
DC_FR,538,AC-TT-TI-R092,177,99,2025-04-15,France
WH002,539,AC-TT-TI-R628,747,198,2025-07-05,US
DC_FR,540,AC-TT-TI-R982,844,76,2025-06-24,France
WH003,541,AC-TT-TI-T723,734,89,2025-10-24,US
WH001,542,CO-PE-PD-M282,139,158,2025-11-08,US
WH003,543,CO-PE-PD-M340,325,137,2025-07-23,US
DC_FR,544,CO-PE-PD-M562,866,121,2025-05-16,France
DC_UK,545,CO-PE-PD-R347,263,183,2025-01-04,United Kingdom
WH002,546,CO-PE-PD-R563,125,121,2025-07-07,US
DC_DE,547,CO-PE-PD-R853,351,182,2025-01-09,Germany
DC_UK,548,CO-PE-PD-T852,389,144,2025-04-26,United Kingdom
DC_FR,549,CO-MF-FR-M63S-38,764,146,2025-06-21,France
DC_UK,550,CO-MF-FR-M21B-40,774,197,2025-09-26,United Kingdom
WH002,551,CO-MF-FR-M21S-40,215,166,2025-09-19,US
DC_FR,552,CO-DE-FD-2342,528,182,2025-05-16,France
DC_CA,553,CO-HB-HB-T721,960,191,2025-03-21,Canada
DC_UK,554,CO-HB-HB-T928,172,42,2025-07-19,United Kingdom
DC_CA,555,CO-BR-FB-9873,475,116,2025-10-29,Canada
DC_DE,556,CO-CS-CS-4759,176,25,2025-07-15,Germany
WH002,557,CO-CS-CS-6583,63,184,2025-05-08,US
DC_CA,558,CO-CS-CS-9183,131,133,2025-06-22,Canada
DC_UK,559,CO-CH-CH-0234,264,171,2025-09-26,United Kingdom
DC_DE,560,BI-TB-BK-T44U-60,735,183,2025-02-21,Germany
DC_CA,561,BI-TB-BK-T79Y-46,335,186,2025-09-15,Canada
WH002,562,BI-TB-BK-T79Y-50,308,162,2025-07-30,US
DC_CA,563,BI-TB-BK-T79Y-54,244,130,2025-07-29,Canada
DC_FR,564,BI-TB-BK-T79Y-60,529,76,2025-01-25,France
DC_CA,565,BI-TB-BK-T18U-54,417,199,2025-11-21,Canada
DC_CA,566,BI-TB-BK-T18U-58,576,189,2025-10-18,Canada
DC_CA,567,BI-TB-BK-T18U-62,457,28,2025-07-16,Canada
DC_CA,568,BI-TB-BK-T18Y-44,648,65,2025-07-01,Canada
WH001,569,BI-TB-BK-T18Y-50,520,148,2025-01-24,US
WH001,570,BI-TB-BK-T18Y-54,471,192,2025-11-23,US
WH002,571,BI-TB-BK-T18Y-58,701,189,2025-04-28,US
WH003,572,BI-TB-BK-T18Y-62,650,194,2025-04-17,US
DC_UK,573,BI-TB-BK-T79U-46,6,197,2025-09-07,United Kingdom
DC_CA,574,BI-TB-BK-T79U-50,321,160,2025-03-22,Canada
WH002,575,BI-TB-BK-T79U-54,655,25,2025-03-14,US
WH003,576,BI-TB-BK-T79U-60,606,131,2025-02-15,US
DC_UK,577,BI-TB-BK-T44U-46,554,137,2025-11-25,United Kingdom
DC_FR,578,BI-TB-BK-T44U-50,288,34,2025-02-15,France
DC_DE,579,BI-TB-BK-T44U-54,62,145,2025-03-20,Germany
DC_UK,580,BI-RB-BK-R79Y-40,149,176,2025-01-23,United Kingdom
DC_FR,581,BI-RB-BK-R79Y-42,715,193,2025-10-12,France
WH003,582,BI-RB-BK-R79Y-44,610,33,2025-07-13,US
DC_FR,583,BI-RB-BK-R79Y-48,5,150,2025-01-04,France
DC_DE,584,BI-RB-BK-R19B-58,741,186,2025-09-03,Germany
DC_CA,585,BI-TB-BK-T18U-44,24,33,2025-02-06,Canada
WH001,586,BI-TB-BK-T18U-50,205,200,2025-08-30,US
WH003,587,BI-MB-BK-M38S-38,101,49,2025-09-02,US
DC_CA,588,BI-MB-BK-M38S-40,98,71,2025-02-17,Canada
DC_UK,589,BI-MB-BK-M38S-42,333,191,2025-10-16,United Kingdom
DC_FR,590,BI-MB-BK-M38S-46,538,52,2025-08-11,France
DC_FR,591,BI-MB-BK-M18S-40,99,200,2025-06-01,France
DC_UK,592,BI-MB-BK-M18S-42,902,51,2025-10-18,United Kingdom
DC_DE,593,BI-MB-BK-M18S-44,450,131,2025-07-01,Germany
DC_CA,594,BI-MB-BK-M18S-48,487,52,2025-03-12,Canada
WH003,595,BI-MB-BK-M18S-52,677,141,2025-10-31,US
